max_depth,learning_rate,max_leaf_nodes,rmse_mean,rmse_std,rmse_var,mae_mean,mae_std,r2_mean,r2_std
NaN,0.03,63,20.918700,0.223076,0.049763,15.835102,0.119217,0.197510,0.009450
NaN,0.03,31,20.957988,0.227018,0.051537,15.903127,0.124906,0.194495,0.009438
NaN,0.06,31,20.964610,0.233846,0.054684,15.858475,0.123171,0.193989,0.009605
8.0,0.06,31,20.980211,0.220269,0.048519,15.893362,0.127568,0.192777,0.009936
8.0,0.06,63,20.984421,0.226854,0.051463,15.890108,0.131718,0.192446,0.010965
8.0,0.06,127,20.986969,0.214643,0.046072,15.889294,0.135275,0.192254,0.009859
8.0,0.03,63,20.996854,0.199155,0.039663,15.947240,0.114761,0.191499,0.008089
NaN,0.03,127,21.001776,0.193504,0.037444,15.841049,0.103493,0.191120,0.007622
8.0,0.03,127,21.012432,0.205464,0.042216,15.957581,0.104455,0.190304,0.007932
5.0,0.10,31,21.016228,0.223016,0.049736,15.926253,0.127065,0.190013,0.009108
